"Crimes Against Person By City or County"
"Current date: 6/24/2023 10:47:56 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2021"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Louisa County","Incest",""
"Louisa County","Statutory Rape","1"
"Louisa County","Aggravated Assault","25"
"Louisa County","Simple Assault","151"
"Louisa County","Intimidation","21"
"Louisa County","Human Trafficking, Commercial Sex Acts",""
"Louisa County","Human Trafficking, Involuntary Servitude",""
"New Kent County","Crimes Against Person","278"
"New Kent County","Murder and Nonnegligent Manslaughter","2"
"New Kent County","Negligent Manslaughter",""
"New Kent County","Justifiable Homicide",""
"New Kent County","Kidnapping/Abduction","7"
"New Kent County","Forcible Rape","2"
"New Kent County","Forcible Sodomy","3"
"New Kent County","Sexual Assault With An Object","1"
"New Kent County","Forcible Fondling","14"
"New Kent County","Incest",""
"New Kent County","Statutory Rape","1"
"New Kent County","Aggravated Assault","49"
"New Kent County","Simple Assault","175"
"New Kent County","Intimidation","23"
"New Kent County","Human Trafficking, Commercial Sex Acts","1"
"New Kent County","Human Trafficking, Involuntary Servitude",""
"Northumberland County","Crimes Against Person","65"
"Northumberland County","Murder and Nonnegligent Manslaughter",""
"Northumberland County","Negligent Manslaughter",""
"Northumberland County","Justifiable Homicide",""
"Northumberland County","Kidnapping/Abduction","1"
"Northumberland County","Forcible Rape","1"
"Northumberland County","Forcible Sodomy",""
"Northumberland County","Sexual Assault With An Object","1"
"Northumberland County","Forcible Fondling","1"
"Northumberland County","Incest",""
"Northumberland County","Statutory Rape",""
"Northumberland County","Aggravated Assault","11"
"Northumberland County","Simple Assault","47"
"Northumberland County","Intimidation","3"
"Northumberland County","Human Trafficking, Commercial Sex Acts",""
"Northumberland County","Human Trafficking, Involuntary Servitude",""
"Nottoway County","Crimes Against Person","145"
"Nottoway County","Murder and Nonnegligent Manslaughter",""
"Nottoway County","Negligent Manslaughter","2"
"Nottoway County","Justifiable Homicide",""
"Nottoway County","Kidnapping/Abduction","2"
"Nottoway County","Forcible Rape","2"
"Nottoway County","Forcible Sodomy",""
"Nottoway County","Sexual Assault With An Object","2"
"Nottoway County","Forcible Fondling","8"
"Nottoway County","Incest",""
"Nottoway County","Statutory Rape",""
"Nottoway County","Aggravated Assault","31"
"Nottoway County","Simple Assault","89"
